pestiKorName,regCpntQnty,pestiBrandName,compName,useName,indictSymbl,cropName,diseaseWeedName,pestiUse,dilutUnit,useSuittime,useNum
프로피코나졸.테부코나졸 유현탁제,propiconazole-10tebuconazole-12,영일베스트,(주)농협케미컬,살균제,사1+사1,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"2,000배",수확 14일 전까지,5회 이내
플루실라졸.크레속심메틸 액상수화제,flusilazole-1.5kresoxim-methyl-10,귀품,(주)팜한농,살균제,사1+다3,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"1,000배",수확 30일 전까지,3회 이내
플루오피람.테부코나졸 액상수화제,fluopyram-17.7Tebuconazole-17.7,머큐리듀오,바이엘크롭사이언스(주),살균제,다2+사1,사과,점무늬낙엽병,발병초부터 10일간격 경엽살포,"3,000배",수확 21일 전까지,3회 이내
플루오피람.트리플록시스트로빈 액상수화제,fluopyram-21.3trifloxystrobin-21.3,머큐리슈퍼,바이엘크롭사이언스(주),살균제,다2+다3,사과,점무늬낙엽병,발병초부터 10일간격  경엽처리,"3,000배",수확 21일 전까지,3회 이내
플루퀸코나졸 수화제,fluquinconazole-25,카스텔란,성보화학(주),살균제,사1,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"2,000배",수확 30일 전까지,5회 이내
플루퀸코나졸.테트라코나졸 유현탁제,Fluquinconazole-14Tetraconazole-7,질주,(주)팜한농,살균제,사1+사1,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"2,000배",수확 21일 전까지,4회 이내
플루퀸코나졸.트리플록시스트로빈 액상수화제,fluquinconazole-14trifloxystrobin-14,듬지칸,(주)팜한농,살균제,사1+다3,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"2,000배",수확 21일 전까지,4회 이내
플루퀸코나졸.피리메타닐 액상수화제,fluquinconazole-5pyrimethanil-30,금모리,한국삼공(주),살균제,사1+라1,사과,점무늬낙엽병,발병초부터 10일간격 경엽처리,"1,000배",수확 20일 전까지,5회 이내
플룩사피록사드 액상수화제,fluxapyroxad-15.3,카디스,(주)농협케미컬,살균제,다2,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"4,000배",수확 21일 전까지,3회 이내
플룩사피록사드.메트라페논 액상수화제,Fluxapyroxad-8Metrafenone-9.1,블루오션,(주)동방아그로,살균제,다2+미분류,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"2,500배",수확 21일 전까지,3회 이내
플룩사피록사드.크레속심메틸 액상수화제,Fluxapyroxad-12Kresoxim-methyl-12,온타임,(주)경농,살균제,다2+다3,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"3,000배",수확 21일 전까지,4회 이내
플룩사피록사드.피라클로스트로빈 액상수화제,fluxapyroxad-4.6Pyraclostrobin-8.3,미리본,(주)팜한농,살균제,다2+다3,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"2,000배",수확 21일 전까지,4회 이내
피디플루메토펜 액상수화제,Pydiflumetofen-18.35,미래빛,신젠타코리아(주),살균제,다2,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"4,000배",수확 14일 전까지,2회 이내
피라지플루미드 액상수화제,Pyraziflumid-15,비긴엔,(주)팜한농,살균제,다2,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"4,000배",수확 14일 전까지,3회 이내
피라클로스트로빈 액상수화제,pyraclostrobin-11,프로키온,한국삼공(주),살균제,다3,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"2,000배",수확 14일 전까지,3회 이내
피라클로스트로빈.테부코나졸 액상수화제,Pyraclostrobin-9Tebuconazole-9,포르투나,성보화학(주),살균제,다3+사1,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"2,000배",수확 21일 전까지,3회 이내
피라클로스트로빈.플루아지남 액상수화제,Pyraclostrobin-8Fluazinam-36,피라플루,선문그린사이언스(주),살균제,다3+다5,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"2,000배",수확 30일전,3회 이내
피리메타닐 수화제,pyrimethanil-30,스칼라,바이엘크롭사이언스(주),살균제,라1,사과,점무늬낙엽병,발병초부터 10일간격 경엽처리,"1,000배",수확 21일 전까지,5회 이내
피리벤카브 입상수화제,Pyribencarb-40,판타지스타,(주)농협케미컬,살균제,다3,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"3,000배",수확 14일 전까지,4회 이내
피리벤카브.테부코나졸 액상수화제,Pyribencarb-10Tebuconazole-15,티업시,(주)농협케미컬,살균제,다3+사1,사과,점무늬낙엽병,발병초 10일간격 경엽처리,"2,000배",수확 21일 전까지,3회 이내
헥사코나졸 수화제,Hexaconazole-5,래피들리,인바이오(주),살균제,사1,사과,점무늬낙엽병,발병초 10일간격 수관처리,"2,500배",수확 21일 전까지,3회 이내
헥사코나졸 수화제,hexaconazole-5,푸지매,한국삼공(주),살균제,사1,사과,점무늬낙엽병,발병초 10일간격 수관처리,"2,500배",수확 21일 전까지,3회 이내
헥사코나졸.피라클로스트로빈 유탁제,Hexaconazole-1Pyraclostrobin-10,헤드라인,(주)팜한농,살균제,사1+다3,사과,점무늬낙엽병,발병초 10일간격 경엽처리," 2,000배 ",수확 7일전,3회 이내
아족시스트로빈.디페노코나졸 입상수화제,Azoxystrobin-12Difenoconazole-6,길쌈,(주)팜한농,살균제,다3+사1,사과,점무늬썩음병,6월 상순부터 10일간격 경엽처리,"2,000배",수확 14일 전까지,4회 이내
아조사이클로틴 수화제,azocyclotin-25,페로팔,(주)농협케미컬,살충제,12b,사과,점박이응애,꽃이 피기 전과 꽃이 진 후부터(5~10월) 한잎당 3~4마리 정도 발생할 때 경엽처리,"1,500배",수확 14일 전까지,3회 이내
파라핀오일 유제,paraffinic oil-98,디씨트론,신젠타코리아(주),살충제,미분류,사과,점박이응애,한 잎당 2~3마리 발생시 경엽처리,200배,-,-
파라핀오일 유제,paraffinic oil-98,썬스프레이울트라-파인,(주)경농,살충제,미분류,사과,점박이응애,한잎당 2~3마리 발생시 약액이 충분히 묻도록 경엽처리,200배,-,-
파라핀오일 유제,paraffinic oil-98,히미나,(주)경농,살충제,미분류,사과,점박이응애,한잎당 2~3마리 발생할 때 경엽처리,200배,-,-
프로파자이트 수화제,propargite-30,오마이트,(주)동방아그로,살충제,12c,사과,점박이응애,꽃 피기전과 꽃 진후 한잎당 3~4마리정도 발생할 때 경엽처리,750배,수확 7일 전까지,3회 이내
밀베멕틴 수화제,Milbemectin(A3+A4)-2,마스터프로,성보화학(주),살충제,6,사과,점박이응애,한잎당 2-3마리 발생시 경엽처리,"2,000배",수확 14일 전까지,3회 이내
비페나제이트 액상수화제,bifenazate-23.5,아크라마이트,신젠타코리아(주),살충제,20d,사과,점박이응애,한잎당 2~3마리 발생시 경엽처리,"2,000배",수확 10일 전까지,3회 이내
비페나제이트.스피로디클로펜 액상수화제,Bifenazate-23.5Spirodiclofen-16.5,잭팟,아그리젠토(주),살충제,20d+23,사과,점박이응애,한잎당 2~3마리발생시 경엽처리,"2,000배",수확 14일 전까지,2회 이내
비페나제이트.스피로메시펜 액상수화제,bifenazate-18spiromesifen-10,코드원,(주)팜한농,살충제,20d+23,사과,점박이응애,한잎당 2-3마리 발생시  경엽처리,"2,000배",수확 7일 전까지,3회 이내
비페나제이트.에톡사졸 액상수화제,bifenazate-18etoxazole-5,쌍두마차,(주)동방아그로,살충제,20d+10b,사과,점박이응애,한잎당 2-3마리 발생시 경엽처리,"2,000배",수확 14일 전까지,3회 이내
비페나제이트.클로르페나피르 액상수화제,Bifenazate-20Chlorfenapyr-4,프레데터,(주)한얼싸이언스,살충제,20d+13,사과,점박이응애,한잎당 2-3마리 발생시 경엽처리,"2,000배",수확 21일 전까지,3회 이내
비페나제이트.클로르페나피르 액상수화제,bifenazate-20chlorfenapyr-4,햇소,(주)농협케미컬,살충제,20d+13,사과,점박이응애,한잎당 2-3마리 발생시 경엽처리,"2,000배",수확 21일 전까지,3회 이내
비페나제이트.플루페녹수론 입상수화제,bifenazate-18flufenoxuron-5,스폰서,(주)농협케미컬,살충제,20d+15,사과,점박이응애,한잎당 2-3마리 발생시 경엽처리,"2,000배",수확 21일 전까지,3회 이내
비페나제이트.플루페녹수론 입상수화제,Bifenazate-18Flufenoxuron-5,위닝샷,(주)한얼싸이언스,살충제,20d+15,사과,점박이응애,한잎당 2~3마리 발생시 경엽처리,"2,000배",수확 21일 전까지,3회 이내
비펜트린.에톡사졸 미탁제,Bifenthrin-1.5Etoxazole-2,마크왕,성보화학(주),살충제,3a+10b,사과,점박이응애,한잎당 2-3마리 발생시 경엽처리,"1,000배",수확 14일 전까지,3회 이내
사이에노피라펜 액상수화제,cyenopyrafen-25,쇼크,한국삼공(주),살충제,25a,사과,점박이응애,한잎당 2-3마리 발생시 경엽처리,"2,000배",수확 7일 전까지,3회 이내
사이에노피라펜.에톡사졸 액상수화제,cyenopyrafen-20Etoxazole-3,컷다운,성보화학(주),살충제,25a+10b,사과,점박이응애,한잎당 2~3마리 발생시 경엽처리,"2,000배",수확 14일 전까지,3회 이내
사이에노피라펜.플루페녹수론 액상수화제,cyenopyrafen-20flufenoxuron-5,집중마크,(주)경농,살충제,25a+15,사과,점박이응애,한잎당 2~3마리 발생시 경엽처리,"2,000배",수확 14일 전까지,3회 이내
사이플루메토펜 분산성액제,Cyflumetofen-10,응원,성보화학(주),살충제,25a,사과,점박이응애,한잎당 2~3마리 발생시 경엽처리,"1,000배",수확 14일 전까지,3회 이내
사이플루메토펜 액상수화제,cyflumetofen-20,파워샷,(주)동방아그로,살충제,25a,사과,점박이응애,한잎당 2~3마리 발생시 경엽처리,"2,000배",수확 14일 전까지,3회 이내
사이플루메토펜.펜피록시메이트 액상수화제,Cyflumetofen-14Fenpyroximate-2.5,굿윈,(주)팜한농,살충제,25a+21a,사과,점박이응애,한잎당 2~3마리 발생시 경엽처리,"2,000배",수확 14일 전까지,3회 이내
스피로디클로펜 수화제,Spirodiclofen-36,시나위,바이엘크롭사이언스(주),살충제,23,사과,점박이응애,한잎당 2~3마리이하 발생할때 경엽처리,"2,000배",수확 21일 전까지,3회 이내
